my_index;date_taken;id;link_obj
5367;1937;http://www.bildindex.de/bilder/d/fm76046;http://www.bildindex.de/document/obj20269672
5368;1937;http://www.bildindex.de/bilder/d/fm76054;http://www.bildindex.de/document/obj20161823
5369;1937;http://www.bildindex.de/bilder/d/fm76056;http://www.bildindex.de/document/obj20161823
5370;1937;http://www.bildindex.de/bilder/d/fm76062;http://www.bildindex.de/document/obj20269726
5372;1937;http://www.bildindex.de/bilder/d/fm76070;http://www.bildindex.de/document/obj20096452
5384;1937;http://www.bildindex.de/bilder/d/fm76092;http://www.bildindex.de/document/obj20269564
5387;1937;http://www.bildindex.de/bilder/d/fm76097;http://www.bildindex.de/document/obj20269564
5426;1932/1935;http://www.bildindex.de/bilder/d/fm78292;http://www.bildindex.de/document/obj20161823
5427;1932/1935;http://www.bildindex.de/bilder/d/fm78293;http://www.bildindex.de/document/obj20161823
5712;1869/1900;http://www.bildindex.de/bilder/d/fm810253;http://www.bildindex.de/document/obj20096452
5781;1869/1900;http://www.bildindex.de/bilder/d/fm810316;http://www.bildindex.de/document/obj20269564
5782;1878/1891;http://www.bildindex.de/bilder/d/fm810319;http://www.bildindex.de/document/obj20269564
5783;1891/1892;http://www.bildindex.de/bilder/d/fm810320;http://www.bildindex.de/document/obj20269564
5784;1869/1900;http://www.bildindex.de/bilder/d/fm810322;http://www.bildindex.de/document/obj20269564
5785;1869/1900;http://www.bildindex.de/bilder/d/fm810323;http://www.bildindex.de/document/obj20269564
5787;1869/1900;http://www.bildindex.de/bilder/d/fm810324a;http://www.bildindex.de/document/obj20269564
5788;1869/1900;http://www.bildindex.de/bilder/d/fm810325;http://www.bildindex.de/document/obj20269564
5789;1869/1900;http://www.bildindex.de/bilder/d/fm810327;http://www.bildindex.de/document/obj20269564
5790;1869/1900;http://www.bildindex.de/bilder/d/fm810328;http://www.bildindex.de/document/obj20269564
5793;1869/1900;http://www.bildindex.de/bilder/d/fm810331;http://www.bildindex.de/document/obj20269564
5794;1869/1900;http://www.bildindex.de/bilder/d/fm810332;http://www.bildindex.de/document/obj20269564
5795;1869/1900;http://www.bildindex.de/bilder/d/fm810333;http://www.bildindex.de/document/obj20269564
5796;1869/1900;http://www.bildindex.de/bilder/d/fm810334;http://www.bildindex.de/document/obj20269564
5803;1869/1900;http://www.bildindex.de/bilder/d/fm810341c;http://www.bildindex.de/document/obj20269564
5804;1869/1900;http://www.bildindex.de/bilder/d/fm810342c;http://www.bildindex.de/document/obj20269564
5805;1869/1900;http://www.bildindex.de/bilder/d/fm810343c;http://www.bildindex.de/document/obj20269564
